currency,inheritance,rho_low,rho_high,n_offers,n_sacrifice,rate,fitted
tokens,main,0.0,0.25,0,0,,
tokens,main,0.25,0.5,1,0,0.0,0.0
tokens,main,0.5,0.75,8,3,0.375,0.25
tokens,main,0.75,1.0,8,1,0.125,0.25
tokens,main,1.0,1.5,12,6,0.5,0.27083333333333337
tokens,main,1.5,2.0,21,4,0.19047619047619047,0.27083333333333337
tokens,main,2.0,3.0,15,3,0.2,0.27083333333333337
tokens,main,3.0,inf,8,4,0.5,0.5
tokens,mate,0.0,0.25,1,0,0.0,0.0
tokens,mate,0.25,0.5,10,0,0.0,0.0
tokens,mate,0.5,0.75,24,0,0.0,0.0
tokens,mate,0.75,1.0,10,1,0.1,0.08235294117647063
tokens,mate,1.0,1.5,19,4,0.21052631578947367,0.08235294117647063
tokens,mate,1.5,2.0,19,0,0.0,0.08235294117647063
tokens,mate,2.0,3.0,23,1,0.043478260869565216,0.08235294117647063
tokens,mate,3.0,inf,14,1,0.07142857142857142,0.08235294117647063
